VCD info: dumpfile wynik.vcd opened for output.
At time  0, param1 = 000000, param2 = 000000, c0 = 0 Outputs result = 000000, c6 = 0
At time 1000, param1 = 000001, param2 = 100000, c0 = 0 Outputs result = 100001, c6 = 0
At time 2000, param1 = 000000, param2 = 000000, c0 = 1 Outputs result = 000001, c6 = 0
At time 3000, param1 = 000001, param2 = 100000, c0 = 1 Outputs result = 100010, c6 = 0
At time 4000, param1 = 111111, param2 = 000000, c0 = 0 Outputs result = 111111, c6 = 0
At time 5000, param1 = 111111, param2 = 000000, c0 = 1 Outputs result = 000000, c6 = 1
At time 6000, param1 = 111111, param2 = 111111, c0 = 0 Outputs result = 111110, c6 = 1
At time 7000, param1 = 111111, param2 = 111111, c0 = 1 Outputs result = 111111, c6 = 1
At time 8000, param1 = 010101, param2 = 101010, c0 = 0 Outputs result = 111111, c6 = 0
At time 9000, param1 = 010101, param2 = 101010, c0 = 1 Outputs result = 000000, c6 = 1
At time 10000, param1 = 110100, param2 = 000111, c0 = 0 Outputs result = 111011, c6 = 0
At time 11000, param1 = 110100, param2 = 000111, c0 = 1 Outputs result = 111100, c6 = 0
At time 12000, param1 = 000001, param2 = 111111, c0 = 0 Outputs result = 000000, c6 = 1
At time 13000, param1 = 000011, param2 = 111111, c0 = 0 Outputs result = 000010, c6 = 1
At time 14000, param1 = 000111, param2 = 111111, c0 = 0 Outputs result = 000110, c6 = 1
At time 15000, param1 = 001111, param2 = 111111, c0 = 0 Outputs result = 001110, c6 = 1
At time 16000, param1 = 011111, param2 = 111111, c0 = 0 Outputs result = 011110, c6 = 1
At time 17000, param1 = 111110, param2 = 111111, c0 = 0 Outputs result = 111101, c6 = 1
At time 18000, param1 = 111100, param2 = 111111, c0 = 0 Outputs result = 111011, c6 = 1
At time 19000, param1 = 111000, param2 = 111111, c0 = 0 Outputs result = 110111, c6 = 1
At time 20000, param1 = 110000, param2 = 111111, c0 = 0 Outputs result = 101111, c6 = 1
At time 21000, param1 = 100000, param2 = 111111, c0 = 0 Outputs result = 011111, c6 = 1
At time 22000, param1 = 000001, param2 = 111111, c0 = 1 Outputs result = 000001, c6 = 1
At time 23000, param1 = 000011, param2 = 111111, c0 = 1 Outputs result = 000011, c6 = 1
At time 24000, param1 = 000111, param2 = 111111, c0 = 1 Outputs result = 000111, c6 = 1
At time 25000, param1 = 001111, param2 = 111111, c0 = 1 Outputs result = 001111, c6 = 1
At time 26000, param1 = 011111, param2 = 111111, c0 = 1 Outputs result = 011111, c6 = 1
At time 27000, param1 = 111110, param2 = 111111, c0 = 1 Outputs result = 111110, c6 = 1
At time 28000, param1 = 111100, param2 = 111111, c0 = 1 Outputs result = 111100, c6 = 1
At time 29000, param1 = 111000, param2 = 111111, c0 = 1 Outputs result = 111000, c6 = 1
At time 30000, param1 = 110000, param2 = 111111, c0 = 1 Outputs result = 110000, c6 = 1
At time 31000, param1 = 100000, param2 = 111111, c0 = 1 Outputs result = 100000, c6 = 1
